PC000025.02.0|clustered-asparagine-rich protein, putative|XP_743965.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PC000199.00.0|conserved hypothetical protein|XP_744018.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000200.00.0|conserved hypothetical protein|XP_744019.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000429.00.0|conserved hypothetical protein|XP_737758.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000478.04.0|hypothetical protein|XP_740727.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC000487.02.0|conserved hypothetical protein|XP_746016.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000490.02.0|conserved hypothetical protein|XP_746018.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000491.02.0|proteasome subunit, putative|XP_746019.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PC000564.01.0|conserved hypothetical protein|XP_742775.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC000595.04.0|hypothetical protein|XP_738732.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC000596.04.0|hypothetical protein|XP_738733.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC000815.04.0|hypothetical protein|XP_733059.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC000865.01.0|sodium/hydrogen exchanger, putative|XP_745140.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PC000873.02.0|bifunctional dihydrofolate reductase-thymidylate synthase, putative|XP_745378.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PC000874.02.0|conserved hypothetical protein|XP_745379.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC100125.00.0|hypothetical protein|XP_742062.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC100126.00.0|hypothetical protein|XP_742061.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC100352.00.0|hypothetical protein|XP_744020.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC103106.00.0|hypothetical protein|XP_745141.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC103345.00.0|hypothetical protein|XP_743967.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC103347.00.0|hypothetical protein|XP_743966.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC104048.00.0|hypothetical protein|XP_746017.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC107778.00.0|hypothetical protein|XP_733268.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC108073.00.0|hypothetical protein|XP_740728.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PC301391.00.0|conserved hypothetical protein|XP_738652.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC302596.00.0|DNA GyrAse a-subunit, putative|XP_740124.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PC403276.00.0|Pc-fam-5 putative|XP_731732.1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
